epoch,epoch_gap_group,row_count,normal_count,defect_count,normal_q68,normal_q90,normal_mean,defect_q50,defect_q05,defect_mean,gap_q68_q050,tail_gap_q90_q05
170,good_gap_top20pct,120000,60000,60000,0.0025307923,0.2329986095,0.0817254686,0.9998569489,0.3235551715,0.9325856640,0.9973261566,0.0905565620
171,good_gap_top20pct,120000,60000,60000,0.0023817848,0.2306664884,0.0815622390,0.9998728037,0.3228661716,0.9328352707,0.9974910189,0.0921996832
172,good_gap_top20pct,120000,60000,60000,0.0022150457,0.2276178002,0.0812998755,0.9998857975,0.3201509416,0.9329993005,0.9976707518,0.0925331414
173,good_gap_top20pct,120000,60000,60000,0.0020678707,0.2295710593,0.0811848603,0.9998974800,0.3195719719,0.9332136185,0.9978296093,0.0900009126
174,good_gap_top20pct,120000,60000,60000,0.0019232670,0.2240905017,0.0809452440,0.9999084473,0.3202120066,0.9334010444,0.9979851803,0.0961215049
175,good_gap_top20pct,120000,60000,60000,0.0017773642,0.2214015573,0.0806712859,0.9999192953,0.3180157244,0.9335517257,0.9981419311,0.0966141671
176,good_gap_top20pct,120000,60000,60000,0.0016496684,0.2177891284,0.0804561256,0.9999282360,0.3181548119,0.9337033767,0.9982785676,0.1003656835
177,good_gap_top20pct,120000,60000,60000,0.0015324894,0.2151675671,0.0803152046,0.9999371767,0.3164025545,0.9339563020,0.9984046873,0.1012349874
178,good_gap_top20pct,120000,60000,60000,0.0014179244,0.2127844691,0.0801433918,0.9999438524,0.3135328889,0.9340999447,0.9985259280,0.1007484198
179,good_gap_top20pct,120000,60000,60000,0.0012907296,0.2083891630,0.0797793833,0.9999508858,0.3109366894,0.9342505357,0.9986601562,0.1025475264
180,good_gap_top20pct,120000,60000,60000,0.0011797819,0.2052228302,0.0795196677,0.9999563694,0.3080530763,0.9343940428,0.9987765875,0.1028302461
181,good_gap_top20pct,120000,60000,60000,0.0010933852,0.2010212690,0.0792983464,0.9999618530,0.3055359125,0.9345186828,0.9988684678,0.1045146435
182,good_gap_top20pct,120000,60000,60000,0.0010036101,0.1991645098,0.0791202541,0.9999663830,0.3055756688,0.9346387323,0.9989627729,0.1064111590
