paper_id,title,path,bytes,sha256,source_format,selection_role,reading_rank,reading_credit_granted
P0402,MAGIC: Near-Optimal Data Attribution for Deep Learning,staging/broad_freeze_canonical_repaired_v4/sources/P0402.pdf,267621,C9C1D4EF73856F436200FEB89FD8C2C7AAE22D6DE5FAB3B56AF15971EAEA6EEB,PDF,PRIMARY,92,False
P0175,Towards High Supervised Learning Utility Training Data Generation: Data Pruning and Column Reordering,staging/broad_freeze_canonical_repaired_v4/sources/P0175.pdf,1092439,28C31245D82F03A59AE34DBE39A81470C23D5294A379D802A3BB63CBE730CCE9,PDF,PRIMARY,93,False
P0337,On the Effectiveness of Curriculum Learning in Educational Text Scoring,staging/broad_freeze_canonical_repaired_v4/sources/P0337.pdf,244145,B8490C3DEACE07D1E68575C441E8F10005C4944F5A65C272421B8D36F965E8EF,PDF,PRIMARY,94,False
P0270,Training Data Selection for Record Linkage Classification,staging/broad_freeze_canonical_repaired_v4/sources/P0270.pdf,670411,7578F922A2637FF6DD1AA5A8B35AA1D85EF4849087FB18C277840FE8FDA19CCB,PDF,PRIMARY,95,False
P0457,Directional Influence Function: Estimating Training Data Influence in Constrained Learning,staging/broad_freeze_canonical_repaired_v4/sources/P0457.pdf,506907,24EFCBFC36ADDDF0CB26EF5F78ECE24EBE31A47339505F08CDC0D39343AD8D82,PDF,PRIMARY,96,False
P0031,Generalizing Off-Policy Learning under Sample Selection Bias,staging/broad_freeze_canonical_repaired_v4/sources/P0031.pdf,630377,6EFA6D0CA972245CF48670757248FF29FB9630472F0BB05B4D0B52ACD1605FF0,PDF,PRIMARY,97,False
P0434,RS-Prune: Training-Free Data Pruning at High Ratios for Efficient Remote Sensing Diffusion Foundation Models,staging/broad_freeze_canonical_repaired_v4/sources/P0434.pdf,1472275,C9E13CFCF5182458EA84E151355ECC908CDC1F93A58745A0411AB639AE566517,PDF,PRIMARY,98,False
P0208,PASS: Peer-Agreement based Sample Selection for training with Noisy Labels,staging/broad_freeze_canonical_repaired_v4/sources/P0208.pdf,729319,12CF9F43299ED4E9030B37C1DA7D10346E211AECB7629DB7C9033E665636CF51,PDF,PRIMARY,99,False
P0103,Data pruning and neural scaling laws: fundamental limitations of score-based algorithms,staging/broad_freeze_canonical_repaired_v4/sources/P0103.pdf,2592289,AA86DD12B4B6457897CA8119CDA350C8E7E7AE6979D65D57B65F3328067A32A7,PDF,PRIMARY,100,False
P0401,A Study on Training Data Selection Method for EEG Emotion Analysis using Machine Learning Algorithm,staging/broad_freeze_canonical_repaired_v4/sources/P0401.pdf,465783,47A240A115AFDD5A4BCB6468A281469286CF5D8E9F5F04BC04BA45D9B08A588E,PDF,PRIMARY,101,False
P0075,A Neyman-Pearson Approach to Statistical Learning,staging/broad_freeze_canonical_repaired_v4/sources/P0075.pdf,298304,E0336648125BB19F29C5E7C2FE3A19184D1E30107F3BB593B86CFBDA65866EB3,PDF,PRIMARY,102,False
P0047,Meta-Guided Sample Reweighting for Robust Cross-Modal Hashing Retrieval with Noisy Labels,staging/broad_freeze_canonical_repaired_v4/sources/P0047.pdf,4811806,0F2E43709FB1E028E1DA20E35711458FA5B6933B7B2AA57D79C515D080DE5A30,PDF,PRIMARY,103,False
P0305,A Traffic Signal Recognition Algorithm Based on Self-paced Learning and Deep Learning,staging/broad_freeze_canonical_repaired_v4/sources/P0305.pdf,1221521,0F92586CE0CEE142E2C535C56BC116C3537F7F760AEA006A984891C6DF0C0872,PDF,PRIMARY,104,False
P0406,An assessment of data-centric methods for label noise identification in remote sensing data sets,staging/broad_freeze_canonical_repaired_v4/sources/P0406.pdf,6325624,C51E7BB2390952A60D6E0AB92D58651E9EBA4877743959E168B56ADA93D14FBC,PDF,PRIMARY,105,False
